================================================================================
SECTOR SPLIT SUMMARY
================================================================================

Total records in dataset: 2,456,350
Number of sectors: 1135

Summary by sector:

                                       sector_name  num_companies  percentage
                         organisations_religieuses              8        0.00
                      etudes_de_marche_et_sondages              8        0.00
              commerce_specialise_bazar_destockage              8        0.00
                                         animation              8        0.00
                                   emballage_metal              7        0.00
                             syndicats_de_salaries              7        0.00
                         secretariat_et_traduction              7        0.00
            administration_dimmeubles_residentiels              7        0.00
           organisations_patronales_et_consulaires              7        0.00
                                   soins_de_beaute              7        0.00
                                         domotique              6        0.00
                                compagnie_aerienne              6        0.00
  location_dautres_biens_personnels_et_domestiques              6        0.00
                                   linge_de_maison              5        0.00
            promotion_immobiliere_dinfrastructures              5        0.00
                   soins_hors_dun_cadre_reglemente              5        0.00
                 accueil_des_enfants_en_difficulte              5        0.00
                    organisations_professionnelles              5        0.00
                           societe_dinvestissement              5        0.00
                     culture_de_legumes_maraichage              4        0.00
                                   gestion_dactifs              4        0.00
                   revetement_des_sols_et_des_murs              4        0.00
                    accueil_des_adultes_handicapes              4        0.00
     reparation_de_chaussures_et_darticles_en_cuir              4        0.00
                  organisation_de_foires_et_salons              4        0.00
                            enseignement_superieur              4        0.00
                    gestion_du_patrimoine_culturel              4        0.00
                             enseignement_primaire              4        0.00
  reparation_darticles_personnels_et_domestiques_n              4        0.00
                                       camping_car              4        0.00
   representation_diplomatique_etrangere_en_france              4        0.00
                          societe_dinvestissements              4        0.00
recherche_developpement_en_sciences_physiques_et_n              4        0.00
                                           charbon              3        0.00
                  menuiserie_metallique_serrurerie              3        0.00
                              bals_et_discotheques              3        0.00
                           enseigne_de_supermarche              3        0.00
                                      cafes_tabacs              3        0.00
                                  operateur_reseau              3        0.00
                           autre_imprimerie_labeur              3        0.00
                           horticulture_pepinieres              3        0.00
                                           tramway              3        0.00
        principal_prestataire_de_services_de_lotan              3        0.00
                                         platrerie              3        0.00
                             promotion_immobiliere              3        0.00
            menuiserie_bois_et_matieres_plastiques              3        0.00
                             conseil_en_immobilier              3        0.00
                                 agences_de_presse              3        0.00
                                    pharmaceutique              3        0.00
                                        ascenseurs              3        0.00
                        laboratoire_pharmaceutique              3        0.00
                  concession_et_commerce_vehicules              3        0.00
                                  cabinet_davocats              3        0.00
                                        patisserie              3        0.00
                       autres_hebergements_sociaux              3        0.00
  reparation_de_materiel_electronique_grand_public              3        0.00
              intermediations_financieres_diverses              2        0.00
                     autres_auxiliaires_financiers              2        0.00
             hebergement_collectif_non_touristique              2        0.00
                              location_de_terrains              2        0.00
                              promoteur_immobilier              2        0.00
conseil_pour_les_affaires_et_autres_conseils_de_ge              2        0.00
                                       charcuterie              2        0.00
                                 reparation_navale              2        0.00
  service_en_hotellerie_et_restauration_service_en              2        0.00
 la_societe_a_pour_objet_directement_ou_indirectem              2        0.00
        location_de_machines_et_equipements_divers              2        0.00
                                 operateur_telecom              2        0.00
 telecommunications_hors_transmissions_audiovisuel              2        0.00
               blanchisserie_teinturerie_de_detail              2        0.00
                               services_forestiers              2        0.00
                 livraison_a_velo_livraison_a_velo              2        0.00
                promotion_immobiliere_de_logements              2        0.00
                       laboratoire_de_prescription              2        0.00
                          epuration_des_eaux_usees              2        0.00
                           elevage_dautres_animaux              2        0.00
 installation_dequipements_thermiques_et_de_climat              2        0.00
                             operateur_ferroviaire              2        0.00
recherche_developpement_en_sciences_humaines_et_so              2        0.00
                            societe_pharmaceutique              2        0.00
                                           whiskey              2        0.00
                                mecanique_generale              2        0.00
                          realisation_de_logiciels              2        0.00
  reparation_de_machines_et_equipements_mecaniques              2        0.00
                             location_de_materiels              2        0.00
              fournisseur_de_logiciels_dentreprise              2        0.00
                   enseignement_secondaire_general              2        0.00
                             mobilier_en_plastique              2        0.00
                           operateur_de_datacenter              2        0.00
                            autres_soins_corporels              2        0.00
                            fonds_dinvestissements              2        0.00
  services_detalonnage_de_qualification_et_de_vali              2        0.00
realisation_et_entretien_de_plantations_ornemental              2        0.00
                                 pratique_dentaire              2        0.00
                   coursier_a_velo_coursier_a_velo              2        0.00
                                     family_office              1        0.00
offre_des_solutions_biologiques_et_developpe_des_l              1        0.00
                      gestion_et_stockage_denergie              1        0.00
                                    gestion_dehpad              1        0.00
    lachat_la_souscription_la_detention_la_gestion              1        0.00
                         pret_a_porter_pour_hommes              1        0.00
                                semences_potageres              1        0.00
                 livreur_coursier_livreur_coursier              1        0.00
 bureau_d_etudes_et_de_marketing_dans_le_domaine_d              1        0.00
  wedding_planner_et_wedding_designer_organisation              1        0.00
           conciergerie_privee_conciergerie_privee              1        0.00
  serveuse_en_restauration_en_extra_mettre_en_plac              1        0.00
                     operateur_telecom_en_roumanie              1        0.00
     developpement_de_graphene_en_trois_dimensions              1        0.00
                                   chambres_dhotes              1        0.00
   directement_ou_indirectement_lachat_la_souscrip              1        0.00
branche_commerciale_civile_du_groupe_de_defense_te              1        0.00
 livreur_de_repas_a_domicile_a_velo_livreur_de_rep              1        0.00
   la_societe_a_pour_objet_tant_en_france_qua_letr              1        0.00
    coursier_a_velo_livraison_de_repas_a_velo_cour              1        0.00
                           agence_de_marketing_b2b              1        0.00
             cafe_bar_brasserie_cafe_bar_brasserie              1        0.00
                                fabricant_de_beton              1        0.00
  solutions_numeriques_pour_lamenagement_interieur              1        0.00
  marque_de_carnets_agendas_journaux_et_articles_d              1        0.00
                         photographie_photographie              1        0.00
      groupe_suisse_actif_dans_la_haute_horlogerie              1        0.00
                                             hotel              1        0.00
                      prestation_de_coaching_prive              1        0.00
  specialisee_en_tricot_laine_et_materiel_dartiste              1        0.00
societe_de_courtage_du_consortium_chinois_hna_grou              1        0.00
manutention_de_marchandises_perissables_sous_tempe              1        0.00
 conseil_en_strategie_organisation_et_gestion_dans              1        0.00
      fabricant_de_cellules_et_de_modules_solaires              1        0.00
    dessalement_deau_de_mer_solutions_deau_durable              1        0.00
developpement_de_systemes_pour_le_recyclage_des_pn              1        0.00
realisation_et_publication_de_photos_et_videos_sur              1        0.00
       dropshiping_de_bijoux_dropshiping_de_bijoux              1        0.00
                                               btp              1        0.00
                              restauration_laverie              1        0.00
assistance_dans_les_domaines_de_la_communication_e              1        0.00
                                 epicerie_epicerie              1        0.00
 production_dequipements_de_mesure_pour_la_gestion              1        0.00
     services_et_maintenance_nucleaires_en_espagne              1        0.00
analyse_de_defaillance_et_des_essais_metallurgique              1        0.00
                                centrale_nucleaire              1        0.00
                        ingenierie_groupe_assystem              1        0.00
 developpement_de_plateforme_dengagement_mobile_pr              1        0.00
                                   groupe_hotelier              1        0.00
              developpement_daccessoires_pour_velo              1        0.00
  agence_publique_damenagement_et_de_planification              1        0.00
     cabinet_juridique_en_propriete_intellectuelle              1        0.00
               operateurs_prescolaires_a_singapour              1        0.00
                    marketing_mobile_haut_de_gamme              1        0.00
 production_demballages_pour_le_secteur_de_la_cosm              1        0.00
    gestion_de_flux_de_travail_et_de_contenu_video              1        0.00
        internet_plateforme_pour_vehicule_autonome              1        0.00
 solutions_pour_les_secteurs_de_la_combustion_la_s              1        0.00
   conception_anodisation_assemblage_et_decoration              1        0.00
     plateforme_mobile_multi_services_a_la_demande              1        0.00
                         solutions_pour_lemballage              1        0.00
fondation_pour_la_recherche_sur_la_maladie_de_park              1        0.00
                       services_de_courtier_a_velo              1        0.00
                                    entretien_auto              1        0.00
 conception_dune_gamme_de_soins_capillaires_sur_me              1        0.00
                                 centre_commercial              1        0.00
                         restauration_restauration              1        0.00
    standardisation_des_processus_de_e_facturation              1        0.00
                           intelligence_de_donnees              1        0.00
  ensemble_dagences_independantes_de_communication              1        0.00
                    expert_en_detection_dexplosifs              1        0.00
                      societe_dexpertise_comptable              1        0.00
un_des_principaux_producteurs_indiens_de_carbonate              1        0.00
       moyens_de_paiement_dans_le_voyage_daffaires              1        0.00
  lexercice_de_la_profession_dexpert_comptable_des              1        0.00
